Total_INT,Min,Max
1,1,1
2,2,2
3,3,3
4,4,4
5,5,6
6,6,7
7,8,8
8,9,9
9,10,10
10,11,14
11,12,15
12,13,16
13,14,17
14,18,18
15,19,24
16,20,25
17,21,26
18,22,27
19,23,28
20,24,36
21,30,37
22,31,38
23,32,39
24,33,40
25,34,50
26,35,51
27,36,52
28,44,53
29,45,54
30,46,66
31,47,67
32,48,68
33,49,69
34,50,70
35,60,84
36,61,85
37,62,86
38,63,87
39,64,88
40,65,104
41,66,105
42,78,106
43,79,107
44,80,108
45,81,126
46,82,127
47,83,128
48,84,129
49,98,130
50,99,150
51,100,151
52,101,152
53,102,153
54,103,154
55,104,176
56,120,177
57,121,178
58,122,179
59,123,180
60,124,204
61,125,205
62,126,206
63,144,207
64,145,208
65,146,234
66,147,235
67,148,236
68,149,237
69,150,238
70,170,266
71,171,267
72,172,268
73,173,269
74,174,270
75,175,300
76,176,301
77,198,302
78,199,303
79,200,304
80,201,336
81,202,337
82,203,338
83,204,339
84,228,340
85,229,374
86,230,375
87,231,376
88,232,377
89,233,378
90,234,414
91,260,415
92,261,416
93,262,417
94,263,418
95,264,456
96,265,457
97,266,458
98,294,459
99,295,460
100,296,500
101,297,501
102,298,502
103,299,503
104,300,504
105,330,546
106,331,547
107,332,548
108,333,549
109,334,550
110,335,594
111,336,595
112,368,596
113,369,597
114,370,598
115,371,644
116,372,645
117,373,646
118,374,647
119,408,648
120,409,696
121,410,697
122,411,698
123,412,699
124,413,700
125,414,750
126,450,751
127,451,752
128,452,753
129,453,754
130,454,806
131,455,807
132,456,808
133,494,809
134,495,810
135,496,864
136,497,865
137,498,866
138,499,867
139,500,868
140,540,924
141,541,925
142,542,926
143,543,927
144,544,928
145,545,986
146,546,987
147,588,988
148,589,989
149,590,990
150,591,1050
